codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
40321;40321;40321;INCIDENTE;LONDRINA;PR;BRASIL;****;20/04/2010;16:11:00;0
40271;40271;40271;ACIDENTE;RECIFE;PE;BRASIL;SNEM;21/04/2010;11:27:00;2
40447;40447;40447;ACIDENTE;MANGARATIBA;RJ;BRASIL;****;21/04/2010;18:55:00;0
40489;40489;40489;INCIDENTE;CAMPINAS;SP;BRASIL;****;21/04/2010;17:01:00;0
40508;40508;40508;INCIDENTE;BELO HORIZONTE;MG;BRASIL;****;21/04/2010;14:44:00;0
40576;40576;40576;INCIDENTE;MACAÉ;RJ;BRASIL;SBME;21/04/2010;18:37:00;0
40577;40577;40577;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;****;21/04/2010;12:52:00;0
40581;40581;40581;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;21/04/2010;13:20:00;0
40554;40554;40554;ACIDENTE;RESENDE;RJ;BRASIL;****;27/04/2010;18:47:00;8
40572;40572;40572;ACIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;28/04/2010;14:10:00;0
40819;40819;40819;INCIDENTE;NIQUELÂNDIA;GO;BRASIL;****;28/04/2010;18:30:00;0
41610;41610;41610;INCIDENTE;NAVEGANTES;SC;BRASIL;****;29/04/2010;10:52:00;0
40583;40583;40583;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;30/04/2010;16:35:00;1
40623;40623;40623;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;30/04/2010;09:55:00;0
40652;40652;40652;INCIDENTE GRAVE;CUIABÁ;MT;BRASIL;SJCY;30/04/2010;19:00:00;0
40573;40573;40573;INCIDENTE GRAVE;ITAPETINGA;BA;BRASIL;****;01/05/2010;15:40:00;2
40575;40575;40575;INCIDENTE;MANAUS;AM;BRASIL;SBEG;01/05/2010;16:15:00;0
40774;40774;40774;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;01/05/2010;02:10:00;0
40579;40579;40579;INCIDENTE;CURITIBA;PR;BRASIL;SBBI;04/05/2010;13:00:00;0
40842;40842;40842;INCIDENTE;SÃO PAULO;SP;BRASIL;****;04/05/2010;18:00:00;0
41629;41629;41629;INCIDENTE;SÃO JOSÉ DOS CAMPOS;SP;BRASIL;SBSJ;04/05/2010;13:19:00;0
